seed,latent_dim,ckpt_path,fpe,tpa,tpa_mean,tpa_std
0,2,results/sirl_gridrobot/sirl_dim2_seed0.pth,0.09207240900382749,"[0.8050000071525574, 0.7900000214576721, 0.8199999928474426, 0.6150000095367432, 0.6299999952316284, 0.8100000023841858, 0.7850000262260437, 0.800000011920929]",0.7568750083446503,0.0783397069400579
1,2,results/sirl_gridrobot/sirl_dim2_seed1.pth,0.09294477330269935,"[0.7149999737739563, 0.7749999761581421, 0.8500000238418579, 0.5799999833106995, 0.5899999737739563, 0.8149999976158142, 0.8050000071525574, 0.6850000023841858]",0.7268749922513962,0.09588201850367323
2,2,results/sirl_gridrobot/sirl_dim2_seed2.pth,0.08740823369486571,"[0.7250000238418579, 0.8100000023841858, 0.8450000286102295, 0.6399999856948853, 0.6150000095367432, 0.8399999737739563, 0.8100000023841858, 0.7549999952316284]",0.755000002682209,0.08299096366872867
0,4,results/sirl_gridrobot/sirl_dim4_seed0.pth,0.06148559591548733,"[0.8500000238418579, 0.7900000214576721, 0.8399999737739563, 0.6899999976158142, 0.7549999952316284, 0.800000011920929, 0.8100000023841858, 0.8299999833106995]",0.7956250011920929,0.0489539004324445
1,4,results/sirl_gridrobot/sirl_dim4_seed1.pth,0.05996298218386566,"[0.7950000166893005, 0.8050000071525574, 0.8050000071525574, 0.7250000238418579, 0.7350000143051147, 0.7950000166893005, 0.75, 0.7749999761581421]",0.7731250077486038,0.030201146288915078
2,4,results/sirl_gridrobot/sirl_dim4_seed2.pth,0.06972158086930202,"[0.8700000047683716, 0.7350000143051147, 0.7799999713897705, 0.7400000095367432, 0.7049999833106995, 0.7850000262260437, 0.800000011920929, 0.8650000095367432]",0.7850000038743019,0.055677647401924435
0,6,results/sirl_gridrobot/sirl_dim6_seed0.pth,0.05265884761769698,"[0.8050000071525574, 0.800000011920929, 0.8149999976158142, 0.7599999904632568, 0.75, 0.8450000286102295, 0.7799999713897705, 0.8349999785423279]",0.7987499982118607,0.03159806747348604
1,6,results/sirl_gridrobot/sirl_dim6_seed1.pth,0.055090211157152104,"[0.8149999976158142, 0.7749999761581421, 0.8050000071525574, 0.7699999809265137, 0.7599999904632568, 0.7950000166893005, 0.7799999713897705, 0.8299999833106995]",0.7912499904632568,0.02260393146240648
2,6,results/sirl_gridrobot/sirl_dim6_seed2.pth,0.05248581144435675,"[0.875, 0.7350000143051147, 0.8199999928474426, 0.7450000047683716, 0.7549999952316284, 0.7900000214576721, 0.7549999952316284, 0.8299999833106995]",0.7881250008940697,0.046363875926444094
0,8,results/sirl_gridrobot/sirl_dim8_seed0.pth,0.05666027788206318,"[0.8050000071525574, 0.7699999809265137, 0.824999988079071, 0.7649999856948853, 0.7950000166893005, 0.8149999976158142, 0.7749999761581421, 0.8199999928474426]",0.7962499931454659,0.02218530447601407
1,8,results/sirl_gridrobot/sirl_dim8_seed1.pth,0.044917850682822835,"[0.8450000286102295, 0.7799999713897705, 0.8500000238418579, 0.75, 0.7599999904632568, 0.8799999952316284, 0.7850000262260437, 0.8450000286102295]",0.811875008046627,0.04547922789966747
2,8,results/sirl_gridrobot/sirl_dim8_seed2.pth,0.05302362612156802,"[0.8100000023841858, 0.8050000071525574, 0.7950000166893005, 0.7350000143051147, 0.7850000262260437, 0.8600000143051147, 0.7799999713897705, 0.824999988079071]",0.7993750050663948,0.03395194144211913
0,10,results/sirl_gridrobot/sirl_dim10_seed0.pth,0.051537543353950686,"[0.8500000238418579, 0.824999988079071, 0.7850000262260437, 0.7900000214576721, 0.7549999952316284, 0.8349999785423279, 0.800000011920929, 0.8500000238418579]",0.8112500086426735,0.03199121037063931
1,10,results/sirl_gridrobot/sirl_dim10_seed1.pth,0.048691694293231134,"[0.8349999785423279, 0.8050000071525574, 0.8100000023841858, 0.7799999713897705, 0.7699999809265137, 0.8199999928474426, 0.7599999904632568, 0.8349999785423279]",0.8018749877810478,0.027034411514217357
2,10,results/sirl_gridrobot/sirl_dim10_seed2.pth,0.04429584758286372,"[0.8550000190734863, 0.8050000071525574, 0.800000011920929, 0.7749999761581421, 0.7950000166893005, 0.8550000190734863, 0.7950000166893005, 0.8600000143051147]",0.8175000101327896,0.031424520691319936
